Tarefa,Sprint,Dia,Tipo,Status,Prioridade,EstimativaHoras,Responsavel,Dependencias,Endpoint,Observacoes
Criar store de auth com accessToken user isAuthenticated isRefreshing,Sprint 1,D1,Implementacao,Todo,Alta,3,,Nenhuma,,
Implementar cliente HTTP com injecao de bearer token,Sprint 1,D1,Implementacao,Todo,Alta,2,,Store de auth pronta,,
Configurar withCredentials para rotas com cookie de refresh,Sprint 1,D1,Implementacao,Todo,Alta,1,,Cliente HTTP pronto,POST /refresh,
Criar utilitario de logout local para limpar sessao,Sprint 1,D1,Implementacao,Todo,Alta,1,,Store de auth pronta,POST /logout,
Requests autenticadas saem com bearer quando token existir,Sprint 1,D1,Criterio de pronto,Todo,Alta,0.5,,Itens D1 concluidos,,Validar em chamadas protegidas
Sessao pode ser limpa de forma centralizada,Sprint 1,D1,Criterio de pronto,Todo,Alta,0.5,,Itens D1 concluidos,,
Implementar tela /login com validacao de formulario,Sprint 1,D2,Implementacao,Todo,Alta,3,,Layout base pronto,POST /login,
Integrar POST /login,Sprint 1,D2,Implementacao,Todo,Alta,2,,Tela login pronta,POST /login,
Salvar token e user retornados no estado global,Sprint 1,D2,Implementacao,Todo,Alta,1,,Integracao login pronta,POST /login,
Redirecionar usuario autenticado para rota privada inicial,Sprint 1,D2,Implementacao,Todo,Media,1,,Login funcionando,,
Tratar erro 400 de credenciais invalidas com mensagem amigavel,Sprint 1,D2,Implementacao,Todo,Media,1,,Login funcionando,POST /login,
Login completo funcionando ponta a ponta,Sprint 1,D2,Criterio de pronto,Todo,Alta,0.5,,Itens D2 concluidos,,
Reload da pagina mantem sessao quando access token existir,Sprint 1,D2,Criterio de pronto,Todo,Alta,0.5,,Persistencia implementada,,
Implementar tela /cadastro com validacoes,Sprint 1,D3,Implementacao,Todo,Alta,3,,Design system minimo pronto,POST /registerUser,
Integrar POST /registerUser,Sprint 1,D3,Implementacao,Todo,Alta,2,,Tela cadastro pronta,POST /registerUser,
Tratar 409 email duplicado e 400 dados invalidos,Sprint 1,D3,Implementacao,Todo,Media,1,,Cadastro integrado,POST /registerUser,
Implementar guard de rota privada com redirecionamento,Sprint 1,D3,Implementacao,Todo,Alta,2,,Store auth pronta,,
Implementar guard de role para recursos de manager,Sprint 1,D3,Implementacao,Todo,Media,1,,Guard privado pronto,,
Usuario cria conta e consegue logar em seguida,Sprint 1,D3,Criterio de pronto,Todo,Alta,0.5,,Itens D3 concluidos,,
Rotas privadas bloqueiam acesso sem sessao,Sprint 1,D3,Criterio de pronto,Todo,Alta,0.5,,Guard privado implementado,,
Implementar POST /refresh sem body,Sprint 1,D4,Implementacao,Todo,Alta,1,,Cookie refresh disponivel,POST /refresh,
Implementar interceptador para tentar refresh ao receber 401,Sprint 1,D4,Implementacao,Todo,Alta,2,,Refresh implementado,POST /refresh,
Criar fila para evitar multiplos refresh simultaneos,Sprint 1,D4,Implementacao,Todo,Alta,2,,Interceptador pronto,POST /refresh,
Repetir request original apos refresh bem-sucedido,Sprint 1,D4,Implementacao,Todo,Alta,1,,Fila de refresh pronta,POST /refresh,
Encerrar sessao quando refresh falhar com 401,Sprint 1,D4,Implementacao,Todo,Alta,1,,Interceptador pronto,POST /refresh,
Sessao recupera automaticamente quando access token expira,Sprint 1,D4,Criterio de pronto,Todo,Alta,0.5,,Itens D4 concluidos,,
Nao ocorre loop infinito de refresh,Sprint 1,D4,Criterio de pronto,Todo,Alta,0.5,,Itens D4 concluidos,,
Integrar POST /logout e limpar sessao local,Sprint 1,D5,Implementacao,Todo,Alta,1,,Store auth pronta,POST /logout,
Ajustar UX de auth loading disable e mensagens padronizadas,Sprint 1,D5,Implementacao,Todo,Media,2,,Fluxos D1-D4 prontos,,
Revisar casos de erro 400 401 409 em login cadastro refresh,Sprint 1,D5,Implementacao,Todo,Media,1,,Fluxos D2-D4 prontos,POST /login; POST /registerUser; POST /refresh,
Criar testes unitarios minimos para store auth e interceptador,Sprint 1,D5,Implementacao,Todo,Media,2,,Fluxos D1-D4 prontos,,
Criar smoke test de navegacao para rota privada,Sprint 1,D5,Implementacao,Todo,Media,1,,Guard privado pronto,,
Fluxo login rota privada refresh logout validado,Sprint 1,D5,Criterio de pronto,Todo,Alta,0.5,,Itens D5 concluidos,,
Sprint 1 pronta para iniciar Sprint 2 modulo vagas,Sprint 1,D5,Criterio de pronto,Todo,Alta,0.5,,Criterios D1-D5 concluidos,,
